convertedDate,frameNumber,Date,Timefile,Time,Frame,convertedTime,combinedDate,timeDiff,group,fileNameTimePrefix,fileNameDatePrefix,folderName
2020-06-13,2246,June 13,11:00,11:08:01,2246/2795,1900-01-01 11:08:01,2020-06-13 11:08:01-01:00,,0,110000,2020-06-13,ARIS_2020_06_13
2020-06-13,1360,June 13,13:00,13:05:03,1360/2742,1900-01-01 13:05:03,2020-06-13 13:05:03-01:00,7022.0,1,130000,2020-06-13,ARIS_2020_06_13
2020-06-13,2308,June 13,16:30,16:38:20,2308/2767,1900-01-01 16:38:20,2020-06-13 16:38:20-01:00,12797.0,2,163000,2020-06-13,ARIS_2020_06_13
2020-06-13,2025,June 13,17:00,17:07:16,2025/2786,1900-01-01 17:07:16,2020-06-13 17:07:16-01:00,1736.0,3,170000,2020-06-13,ARIS_2020_06_13
2020-06-13,2127,June 13,17:50,17:57:45,2127/2755,1900-01-01 17:57:45,2020-06-13 17:57:45-01:00,3029.0,4,175000,2020-06-13,ARIS_2020_06_13
2020-06-14,2085,June 14,07:20,07:27:38,2085/2733,1900-01-01 07:27:38,2020-06-14 07:27:38-01:00,48593.0,5,072000,2020-06-14,ARIS_2020_06_14
2020-06-14,982,June 14,07:40,07:43:48,982/2709,1900-01-01 07:43:48,2020-06-14 07:43:48-01:00,970.0,6,074000,2020-06-14,ARIS_2020_06_14
2020-06-14,867,June 14,08:40,08:43:14,867/2772,1900-01-01 08:43:14,2020-06-14 08:43:14-01:00,3566.0,7,084000,2020-06-14,ARIS_2020_06_14
2020-06-14,1052,June 14,08:40,08:43:52,1052/2772,1900-01-01 08:43:52,2020-06-14 08:43:52-01:00,38.0,8,084000,2020-06-14,ARIS_2020_06_14
2020-06-14,2124,June 14,08:40,08:47:41,2124/2772,1900-01-01 08:47:41,2020-06-14 08:47:41-01:00,229.0,9,084000,2020-06-14,ARIS_2020_06_14
2020-06-14,2672,June 14,08:40,08:49:39,2672/2772,1900-01-01 08:49:39,2020-06-14 08:49:39-01:00,118.0,10,084000,2020-06-14,ARIS_2020_06_14
2020-06-14,427,June 14,09:00,09:01:48,427/2698,1900-01-01 09:01:48,2020-06-14 09:01:48-01:00,729.0,11,090000,2020-06-14,ARIS_2020_06_14
2020-06-14,2589,June 14,09:00,09:09:35,2589/2698,1900-01-01 09:09:35,2020-06-14 09:09:35-01:00,467.0,12,090000,2020-06-14,ARIS_2020_06_14
2020-06-14,2711,June 14,09:50,09:59:44,2711/2786,1900-01-01 09:59:44,2020-06-14 09:59:44-01:00,3009.0,13,095000,2020-06-14,ARIS_2020_06_14
2020-06-14,860,June 14,10:40,10:43:13,860/2743,1900-01-01 10:43:13,2020-06-14 10:43:13-01:00,2609.0,14,104000,2020-06-14,ARIS_2020_06_14
2020-06-14,248,June 14,10:50,10:50:58,248/2752,1900-01-01 10:50:58,2020-06-14 10:50:58-01:00,465.0,15,105000,2020-06-14,ARIS_2020_06_14
2020-06-14,639,June 14,11:00,11:02:31,639/2742,1900-01-01 11:02:31,2020-06-14 11:02:31-01:00,693.0,16,110000,2020-06-14,ARIS_2020_06_14
2020-06-14,1635,June 14,11:00,11:06:03,1635/2742,1900-01-01 11:06:03,2020-06-14 11:06:03-01:00,212.0,17,110000,2020-06-14,ARIS_2020_06_14
2020-06-14,84,June 14,11:20,11:20:23,84/2771,1900-01-01 11:20:23,2020-06-14 11:20:23-01:00,860.0,18,112000,2020-06-14,ARIS_2020_06_14
2020-06-14,2299,June 14,11:20,11:28:19,2299/2771,1900-01-01 11:28:19,2020-06-14 11:28:19-01:00,476.0,19,112000,2020-06-14,ARIS_2020_06_14
2020-06-18,2220,June 18,08:20,08:27:54,2220/2817,1900-01-01 08:27:54,2020-06-18 08:27:54-01:00,75575.0,20,082000,2020-06-18,ARIS_2020_06_18
2020-06-18,2299,June 18,11:20,11:28:19,2299/2771,1900-01-01 11:28:19,2020-06-18 11:28:19-01:00,10825.0,21,112000,2020-06-18,ARIS_2020_06_18
2020-06-18,2708,June 18,18:30,18:39:30,2708/2850,1900-01-01 18:39:30,2020-06-18 18:39:30-01:00,25871.0,22,183000,2020-06-18,ARIS_2020_06_18
2020-06-18,736,June 18,18:40,18:42:36,736/2843,1900-01-01 18:42:36,2020-06-18 18:42:36-01:00,186.0,23,184000,2020-06-18,ARIS_2020_06_18
2020-06-18,773,June 18,19:20,19:22:44,773/2855,1900-01-01 19:22:44,2020-06-18 19:22:44-01:00,2408.0,24,192000,2020-06-18,ARIS_2020_06_18
2020-06-19,41,June 19,07:10,07:10:11,41/2847,1900-01-01 07:10:11,2020-06-19 07:10:11-01:00,42447.0,25,071000,2020-06-19,ARIS_2020_06_19
2020-06-19,1357,June 19,07:10,07:14:48,1357/2847,1900-01-01 07:14:48,2020-06-19 07:14:48-01:00,277.0,26,071000,2020-06-19,ARIS_2020_06_19
2020-06-19,1463,June 19,08:20,08:25:07,1463/2857,1900-01-01 08:25:07,2020-06-19 08:25:07-01:00,4219.0,27,082000,2020-06-19,ARIS_2020_06_19
2020-06-19,1707,June 19,08:20,08:25:58,1707/2857,1900-01-01 08:25:58,2020-06-19 08:25:58-01:00,51.0,28,082000,2020-06-19,ARIS_2020_06_19
2020-06-19,2675,June 19,10:50,10:59:26,2675/2835,1900-01-01 10:59:26,2020-06-19 10:59:26-01:00,9208.0,29,105000,2020-06-19,ARIS_2020_06_19
2020-06-19,1856,June 19,12:50,12:56:32,1856/2849,1900-01-01 12:56:32,2020-06-19 12:56:32-01:00,7026.0,30,125000,2020-06-19,ARIS_2020_06_19
2020-06-19,474,June 19,13:30,13:31:41,474/2855,1900-01-01 13:31:41,2020-06-19 13:31:41-01:00,2109.0,31,133000,2020-06-19,ARIS_2020_06_19
2020-06-19,1971,June 19,15:20,15:27:02,1971/2813,1900-01-01 15:27:02,2020-06-19 15:27:02-01:00,6921.0,32,152000,2020-06-19,ARIS_2020_06_19
2020-06-19,1148,June 19,16:30,16:34:02,1148/2855,1900-01-01 16:34:02,2020-06-19 16:34:02-01:00,4020.0,33,163000,2020-06-19,ARIS_2020_06_19
2020-06-19,2114,June 19,16:30,16:37:25,2114/2855,1900-01-01 16:37:25,2020-06-19 16:37:25-01:00,203.0,34,163000,2020-06-19,ARIS_2020_06_19
2020-06-19,158,June 19,16:40,16:40:36,158/2721,1900-01-01 16:40:36,2020-06-19 16:40:36-01:00,191.0,35,164000,2020-06-19,ARIS_2020_06_19
2020-06-19,1846,June 19,16:40,16:46:53,1846/2721,1900-01-01 16:46:53,2020-06-19 16:46:53-01:00,377.0,36,164000,2020-06-19,ARIS_2020_06_19
2020-06-19,2194,June 19,16:40,16:48:08,2194/2721,1900-01-01 16:48:08,2020-06-19 16:48:08-01:00,75.0,37,164000,2020-06-19,ARIS_2020_06_19
2020-06-19,585,June 19,17:50,17:52:08,585/2792,1900-01-01 17:52:08,2020-06-19 17:52:08-01:00,3840.0,38,175000,2020-06-19,ARIS_2020_06_19
2020-06-19,1053,June 19,18:10,18:13:43,1053/2853,1900-01-01 18:13:43,2020-06-19 18:13:43-01:00,1295.0,39,181000,2020-06-19,ARIS_2020_06_19
2020-06-19,2836,June 19,18:10,18:19:56,2836/2853,1900-01-01 18:19:56,2020-06-19 18:19:56-01:00,373.0,40,181000,2020-06-19,ARIS_2020_06_19
2020-06-19,52,June 19,19:40,19:40:13,52/2846,1900-01-01 19:40:13,2020-06-19 19:40:13-01:00,4817.0,41,194000,2020-06-19,ARIS_2020_06_19
2020-06-19,245,June 19,19:40,19:40:13,245/2846,1900-01-01 19:40:13,2020-06-19 19:40:13-01:00,0.0,41,194000,2020-06-19,ARIS_2020_06_19
2020-06-19,541,June 19,19:40,19:41:56,541/2946,1900-01-01 19:41:56,2020-06-19 19:41:56-01:00,103.0,42,194000,2020-06-19,ARIS_2020_06_19
2020-06-19,-1,June 19,19:50,19:56:12,-1/0000,1900-01-01 19:56:12,2020-06-19 19:56:12-01:00,856.0,43,195000,2020-06-19,ARIS_2020_06_19
2020-06-20,505,June 20,07:40,07:41:47,505/2833,1900-01-01 07:41:47,2020-06-20 07:41:47-01:00,42335.0,44,074000,2020-06-20,ARIS_2020_06_20
2020-06-20,805,June 20,09:40,09:42:52,805/2824,1900-01-01 09:42:52,2020-06-20 09:42:52-01:00,7265.0,45,094000,2020-06-20,ARIS_2020_06_20
2020-06-20,2741,June 20,10:40,10:49:40,2741/2832,1900-01-01 10:49:40,2020-06-20 10:49:40-01:00,4008.0,46,104000,2020-06-20,ARIS_2020_06_20
2020-06-20,455,June 20,11:20,11:21:38,455/2814,1900-01-01 11:21:38,2020-06-20 11:21:38-01:00,1918.0,47,112000,2020-06-20,ARIS_2020_06_20
2020-06-20,2803,June 20,14:20,14:29:49,2803/2853,1900-01-01 14:29:49,2020-06-20 14:29:49-01:00,11291.0,48,142000,2020-06-20,ARIS_2020_06_20
2020-06-20,30,June 20,14:30,14:30:08,30/2845,1900-01-01 14:30:08,2020-06-20 14:30:08-01:00,19.0,48,143000,2020-06-20,ARIS_2020_06_20
2020-06-20,1156,June 20,14:30,14:34:04,1156/2845,1900-01-01 14:34:04,2020-06-20 14:34:04-01:00,236.0,49,143000,2020-06-20,ARIS_2020_06_20
2020-06-20,737,June 20,18:00,18:02:37,737/2823,1900-01-01 18:02:37,2020-06-20 18:02:37-01:00,12513.0,50,180000,2020-06-20,ARIS_2020_06_20
2020-06-20,1176,June 20,18:00,18:04:12,1176/2823,1900-01-01 18:04:12,2020-06-20 18:04:12-01:00,95.0,51,180000,2020-06-20,ARIS_2020_06_20
2020-06-21,2587,June 21,07:30,07:39:11,2587/2813,1900-01-01 07:39:11,2020-06-21 07:39:11-01:00,48899.0,52,073000,2020-06-21,ARIS_2020_06_21
2020-06-21,1704,June 21,09:20,09:26:02,1704/2803,1900-01-01 09:26:02,2020-06-21 09:26:02-01:00,6411.0,53,092000,2020-06-21,ARIS_2020_06_21
2020-06-21,547,June 21,12:30,12:31:58,547/2808,1900-01-01 12:31:58,2020-06-21 12:31:58-01:00,11156.0,54,123000,2020-06-21,ARIS_2020_06_21
2020-06-21,2142,June 21,14:20,14:27:34,2142/2825,1900-01-01 14:27:34,2020-06-21 14:27:34-01:00,6936.0,55,142000,2020-06-21,ARIS_2020_06_21
2020-06-21,-1,June 21,15:30,15:16:55,-1/0000,1900-01-01 15:16:55,2020-06-21 15:16:55-01:00,2961.0,56,153000,2020-06-21,ARIS_2020_06_21
2020-06-21,1941,June 21,15:17,15:16:55,1941/2815,1900-01-01 15:16:55,2020-06-21 15:16:55-01:00,0.0,56,151700,2020-06-21,ARIS_2020_06_21
2020-06-22,1678,June 22,11:20,11:25:53,1678/2843,1900-01-01 11:25:53,2020-06-22 11:25:53-01:00,72538.0,57,112000,2020-06-22,ARIS_2020_06_22
2020-06-22,950,June 22,11:50,11:53:24,950/2814,1900-01-01 11:53:24,2020-06-22 11:53:24-01:00,1651.0,58,115000,2020-06-22,ARIS_2020_06_22
2020-06-22,-1,June 22,14:40,14:40:14,-1/0000,1900-01-01 14:40:14,2020-06-22 14:40:14-01:00,10010.0,59,144000,2020-06-22,ARIS_2020_06_22
2020-07-03,882,July 3,01:20,01:23:13,882/2774,1900-01-01 01:23:13,2020-07-03 01:23:13-01:00,38579.0,60,012000,2020-07-03,ARIS_2020_07_03
2020-07-03,1726,July 3,01:30,01:26:16,1726/2770,1900-01-01 01:26:16,2020-07-03 01:26:16-01:00,183.0,61,013000,2020-07-03,ARIS_2020_07_03
2020-07-03,2059,July 3,01:20,01:27:27,2059/2774,1900-01-01 01:27:27,2020-07-03 01:27:27-01:00,71.0,62,012000,2020-07-03,ARIS_2020_07_03
2020-07-03,2727,July 3,01:20,01:29:49,2727/2774,1900-01-01 01:29:49,2020-07-03 01:29:49-01:00,142.0,63,012000,2020-07-03,ARIS_2020_07_03
2020-07-03,1777,July 3,01:30,01:36:26,1777/2770,1900-01-01 01:36:26,2020-07-03 01:36:26-01:00,397.0,64,013000,2020-07-03,ARIS_2020_07_03
2020-07-03,2394,July 3,02:10,02:18:35,2394/2793,1900-01-01 02:18:35,2020-07-03 02:18:35-01:00,2529.0,65,021000,2020-07-03,ARIS_2020_07_03
2020-07-03,260,July 3,02:20,02:20:56,260/2776,1900-01-01 02:20:56,2020-07-03 02:20:56-01:00,141.0,66,022000,2020-07-03,ARIS_2020_07_03
2020-07-03,852,July 3,02:20,02:23:05,852/2776,1900-01-01 02:23:05,2020-07-03 02:23:05-01:00,129.0,67,022000,2020-07-03,ARIS_2020_07_03
2020-07-03,2409,July 3,02:20,02:28:41,2409/2776,1900-01-01 02:28:41,2020-07-03 02:28:41-01:00,336.0,68,022000,2020-07-03,ARIS_2020_07_03
2020-07-03,156,July 3,03:20,03:20:34,156/2791,1900-01-01 03:20:34,2020-07-03 03:20:34-01:00,3113.0,69,032000,2020-07-03,ARIS_2020_07_03
2020-07-03,466,July 3,03:20,03:21:41,466/2791,1900-01-01 03:21:41,2020-07-03 03:21:41-01:00,67.0,70,032000,2020-07-03,ARIS_2020_07_03
2020-07-03,1159,July 3,03:20,03:24:07,1159/2791,1900-01-01 03:24:07,2020-07-03 03:24:07-01:00,146.0,71,032000,2020-07-03,ARIS_2020_07_03
2020-07-03,1163,July 3,03:20,03:24:08,1163/2791,1900-01-01 03:24:08,2020-07-03 03:24:08-01:00,1.0,71,032000,2020-07-03,ARIS_2020_07_03
2020-07-03,1614,July 3,03:20,03:25:48,1614/2791,1900-01-01 03:25:48,2020-07-03 03:25:48-01:00,100.0,72,032000,2020-07-03,ARIS_2020_07_03
2020-07-03,2355,July 3,03:20,03:28:26,2355/2791,1900-01-01 03:28:26,2020-07-03 03:28:26-01:00,158.0,73,032000,2020-07-03,ARIS_2020_07_03
2020-07-03,1258,July 3,03:50,03:54:33,1258/2782,1900-01-01 03:54:33,2020-07-03 03:54:33-01:00,1567.0,74,035000,2020-07-03,ARIS_2020_07_03
2020-07-03,1862,July 3,03:50,03:56:43,1862/2782,1900-01-01 03:56:43,2020-07-03 03:56:43-01:00,130.0,75,035000,2020-07-03,ARIS_2020_07_03
2020-07-03,1928,July 3,03:50,03:56:56,1928/2782,1900-01-01 03:56:56,2020-07-03 03:56:56-01:00,13.0,75,035000,2020-07-03,ARIS_2020_07_03
2020-07-03,2034,July 3,03:50,03:57:18,2034/2782,1900-01-01 03:57:18,2020-07-03 03:57:18-01:00,22.0,76,035000,2020-07-03,ARIS_2020_07_03
2020-07-03,2405,July 3,03:50,03:58:38,2405/2782,1900-01-01 03:58:38,2020-07-03 03:58:38-01:00,80.0,77,035000,2020-07-03,ARIS_2020_07_03
2020-07-03,863,July 3,04:00,04:03:06,863/2781,1900-01-01 04:03:06,2020-07-03 04:03:06-01:00,268.0,78,040000,2020-07-03,ARIS_2020_07_03
2020-07-03,993,July 3,04:00,04:03:34,993/2781,1900-01-01 04:03:34,2020-07-03 04:03:34-01:00,28.0,79,040000,2020-07-03,ARIS_2020_07_03
2020-07-03,2057,July 3,04:00,04:07:26,2057/2781,1900-01-01 04:07:26,2020-07-03 04:07:26-01:00,232.0,80,040000,2020-07-03,ARIS_2020_07_03
2020-07-03,2535,July 3,04:00,04:09:06,2535/2781,1900-01-01 04:09:06,2020-07-03 04:09:06-01:00,100.0,81,040000,2020-07-03,ARIS_2020_07_03
2020-07-03,50,July 3,04:10,04:10:11,50/2789,1900-01-01 04:10:11,2020-07-03 04:10:11-01:00,65.0,82,041000,2020-07-03,ARIS_2020_07_03
2020-07-03,102,July 3,04:10,04:10:22,102/2789,1900-01-01 04:10:22,2020-07-03 04:10:22-01:00,11.0,82,041000,2020-07-03,ARIS_2020_07_03
