Date,Timefile,Time,Frame,Size (cm),Direction,Notes
9-May,10:30,10:39:19,2650/2842,87,up,
10-May,13:40,13:44:51,1364/2824,118,down,otter
17-May,16:30,09:42:16,636/2830,47,up,
19-May,07:40,16:34:09,1172/2810,67,up,otter
20-May,08:10,08:14:12,1088/2810,53,down,otter
24-May,08:10,08:16:23,1172/2803,111,up,
27-May,07:10,07:16:13,1775/2782,59,up,otter
27-May,07:10,07:16:14,1746/2798,58,up,
27-May,09:20,09:27:45,2140/2770,47,up,
28-May,19:30,19:37:56,2182/2753,85,down,otter
28-May,19:30,19:39:30,2620/2753,52,up,
30-May,12:40,12:40:24,99/2747,86,up,otter
30-May,18:40,18:43:48,1036/2748,74,down,otter
31-May,07:40,07:47:54,2170/2736,62,up,otter
31-May,19:00,19:07:24,2027/2739,116,down,otter
24-June,08:20,08:20:43,190/2806,50,up,
25-June,17:10,17:14:44,1317/2802,76,up,otter
27-June,08:50,08:56:53,1920/2801,51,up,
27-June,08:50,08:56:58,1946/2801,49,up,
27-June,14:20,14:20:06,20/2800,52,up,
27-June,14:20,14:20:06,20/2800,49,up,
27-June,14:20,14:20:06,20/2800,47,up,
27-June,14:20,14:20:06,20/2800,47,up,
27-June,14:20,14:20:07,23/2800,50,up,
28-June,14:00,14:05:44,1607/2814,93,down,otter
29-June,16:10,16:15:51,1628/2791,90,up,otter
30-June,09:10,09:12:11,613/2814,60,down,
30-June,09:10,09:13:07,874/2814,53,up,
30-June,09:10,09:13:58,1115/2814,60,down,
30-June,09:10,09:15:20,1504/2814,66,up,
27-July,00:10,12:10:21,72/2755,47,up,
27-July,00:10,12:12:58,815/2755,56,up,
27-July,00:10,12:13:53,1060/2755,53,up,
27-July,00:10,12:14:20,1190/2755,52,up,
27-July,00:10,12:14:44,1294/2755,58,up,
27-July,00:30,12:34:12,1167/2791,54,up,
27-July,00:30,12:35:36,1563/2791,48,up,
27-July,00:30,12:35:36,1563/2791,59,up,
27-July,00:30,12:37:19,2035/2791,64,up,
27-July,00:30,12:38:09,2274/2791,50,up,
27-July,00:30,12:38:36,2396/2791,51,up,
27-July,00:30,12:38:50,2466/2791,47,down,
27-July,00:30,12:39:06,2545/2791,61,up,
27-July,00:30,12:39:31,2652/2791,51,up,
27-July,01:00,01:02:08,596/2789,76,down,otter
27-July,01:30,01:37:09,1994/2782,49,up,
27-July,02:00,02:00:47,214/2775,60,up,
27-July,02:00,02:03:35,997/2775,55,up,
27-July,02:10,02:19:21,2606/2793,52,up,
27-July,03:50,03:52:26,673/2792,51,up,
27-July,03:50,03:53:31,983/2792,62,up,
27-July,03:50,03:55:20,1481/2792,51,up,
27-July,03:50,03:55:37,1560/2792,46,up,
27-July,03:50,03:59:11,2559/2792,48,up,
27-July,04:10,04:12:41,753/2774,52,up,
27-July,04:50,04:50:36,153/2783,47,up,
27-July,04:50,04:50:36,153/2783,55,up,
27-July,04:50,04:51:49,500/2783,56,up,
27-July,04:50,04:51:58,545/2783,46,up,
27-July,04:50,04:51:58,545/2783,51,up,
27-July,04:50,04:55:08,1419/2783,61,up,
27-July,04:50,04:55:31,1531/2783,52,up,
27-July,04:50,04:57:09,1977/2783,50,up,
27-July,04:50,04:57:09,1977/2783,51,up,
27-July,04:50,04:57:09,1977/2783,56,up,
27-July,04:50,05:23:55,1072/2774,47,down,
27-July,05:20,05:28:30,2335/2774,46,up,
27-July,05:20,05:28:40,2404/2774,66,up,
27-July,05:20,05:28:44,2424/2774,55,up,
27-July,05:20,05:40:44,204/2801,51,up,
27-July,05:40,05:43:52,1086/2801,48,up,
27-July,05:40,05:43:52,1086/2801,50,up,
27-July,05:40,05:44:08,1157/2801,80,up,
27-July,05:40,05:44:38,1298/2801,52,up,
27-July,05:40,05:46:11,1737/2801,67,up,
27-July,03:50,03:52:26,673/2792,51,up,
27-July,03:50,03:53:31,983/2792,62,up,
27-July,03:50,03:55:20,1481/2792,51,up,
27-July,03:50,03:55:37,1560/2792,46,up,
27-July,03:50,03:59:11,2559/2792,48,up,
27-July,04:10,04:12:41,753/2774,52,up,
27-July,04:50,04:50:36,153/2783,47,up,
27-July,04:50,04:50:36,153/2783,55,up,
27-July,04:50,04:51:49,500/2783,56,up,
27-July,04:50,04:51:58,545/2783,46,up,
27-July,04:50,04:51:58,545/2783,51,up,
27-July,04:50,04:55:08,1419/2783,61,up,
27-July,04:50,04:55:31,1531/2783,52,up,
27-July,04:50,04:57:09,1977/2783,50,up,
27-July,04:50,04:57:09,1977/2783,51,up,
27-July,04:50,04:57:09,1977/2783,56,up,
27-July,05:20,05:23:55,1072/2774,47,down,
27-July,05:20,05:28:30,2355/2774,46,up,
27-July,05:20,05:28:40,2404/2774,66,up,
27-July,05:20,05:28:44,2424/2774,55,up,
27-July,05:40,05:40:44,204/2801,51,up,
27-July,05:40,05:43:52,1086/2801,48,up,
27-July,05:40,05:43:52,1086/2801,50,up,
27-July,05:40,05:44:08,1157/2801,80,up,
27-July,05:40,05:44:38,1298/2801,52,up,
27-July,05:40,05:46:11,1737/2801,67,up,
27-July,06:40,06:41:33,434/2789,86,up,
27-July,06:20,06:20:22,99/2799,47,down,
27-July,07:40,07:46:48,1879/2783,91,up,
27-July,07:40,07:46:48,1879/2783,59,up,
27-July,09:30,07:46:47,1875/2783,48,up,
27-July,09:30,09:30:04,17/2805,54,up,
27-July,09:00,09:30:04,17/2805,60,up,
27-July,09:00,09:00:45,196/2769,50,up,
27-July,09:00,09:00:45,196/2769,60,up,
27-July,09:00,09:00:45,196/2769,61,up,
27-July,09:00,09:00:45,196/2769,64,up,
27-July,09:00,09:00:45,196/2769,58,up,
27-July,09:00,09:00:45,196/2769,58,up,
27-July,09:00,09:00:45,196/2769,51,up,
27-July,09:00,09:00:45,196/2769,50,up,
27-July,09:00,09:00:45,196/2769,57,up,
27-July,09:00,09:00:45,196/2769,61,up,
27-July,09:00,09:00:45,196/2769,60,up,
27-July,09:00,09:00:45,196/2769,57,up,
27-July,09:00,09:00:45,196/2769,46,up,
27-July,09:00,09:00:45,196/2769,50,up,
27-July,09:00,09:00:48,211/2769,46,up,
27-July,09:00,09:00:52,232/2769,52,up,
27-July,09:00,09:04:17,1185/2769,50,up,
27-July,09:00,09:04:18,1190/2769,45,up,
27-July,09:00,09:06:24,1763/2769,52,up,
27-July,09:00,09:06:25,1769/2769,50,up,
27-July,09:00,09:09:19,2579/2769,54,up,
27-July,10:00,10:02:34,720/2802,62,up,
27-July,10:00,10:02:34,720/2802,59,down,
