Date,Timefile,Time,Frame,Size (cm),Direction,Notes
June 02,17:30,17:37:46,2144/2758,53,up,
June 02,17:30,17:37:46,2144/2758,40,up,
June 02,17:30,17:37:46,2144/2758,59,up,
June 02,17:30,17:37:46,2144/2758,44,up,
June 02,17:30,17:37:46,2144/2758,58,up,
June 02,17:30,17:37:53,2177/2758,56,up,
June 02,17:30,17:37:53,2177/2758,48,up,
June 02,17:30,17:37:53,2177/2758,53,up,
June 02,17:30,17:37:53,2177/2758,46,up,
June 02,17:30,17:37:53,2177/2758,46,up,
June 02,17:30,17:37:53,2177/2758,48,up,
June 02,17:30,17:37:53,2177/2758,46,up,
June 02,19:50,19:57:22,2019/2759,62,up,
June 02,19:50,19:57:22,2019/2759,61,up,
June 02,17:50,17:59:31,2625/2759,41,up,
June 02,17:50,17:59:31,2625/2759,42,up,
June 02,17:50,17:59:31,2625/2759,44,up,
June 02,17:50,17:59:31,2625/2759,40,up,
June 02,17:50,17:59:31,2625/2759,46,up,
June 02,17:50,17:59:31,2625/2759,48,up,
June 02,17:50,17:59:32,2631/2763,42,up,
June 02,17:50,17:59:32,2631/2763,44,up,
June 02,17:50,17:59:32,2631/2763,45,up,
June 03,19:10,19:11:28,409/2790,49,up,
June 03,19:10,19:11:28,409/2790,47,up,
June 03,19:10,19:11:28,409/2790,49,up,
June 03,19:10,19:11:28,409/2790,46,up,
June 03,19:10,19:11:28,409/2790,37,up,
June 03,19:10,19:11:28,409/2790,56,up,
June 03,19:10,19:11:28,409/2790,48,up,
June 03,19:10,19:11:28,409/2790,44,up,
June 03,19:10,19:11:28,409/2790,44,up,
June 03,19:10,19:13:07,865/2790,43,down,
June 03,19:10,19:13:07,865/2791,46,down,
June 03,19:10,19:13:07,865/2792,44,down,
June 03,19:10,19:13:07,865/2793,40,down,
June 03,19:10,19:13:07,865/2794,41,down,
June 03,19:10,19:13:07,865/2795,40,down,
June 03,19:10,19:13:07,865/2796,60,down,
June 05,07:50,07:56:59,1930/2753,112,up,otter
June 06,09:00,09:07:45,2153/2782,44,up,
June 06,09:00,09:07:45,2153/2782,43,up,
June 06,09:00,09:07:45,2153/2782,58,up,
June 06,09:00,09:07:45,2153/2782,42,up,
June 09,09:10,09:18:34,2376/2766,63,up,
June 11,07:10,07:10:51,215/2799,46,up,
June 11,07:10,07:10:43,177/2799,53,up,
June 11,07:10,07:19:47,2738/2799,47,up,
June 11,07:10,07:19:47,2738/2799,55,up,
June 11,12:00,12:05:09,1431/2790,51,up,
June 11,10:20,10:27:59,2233/2788,58,up,
June 11,10:20,10:27:59,2233/2788,58,up,
June 11,10:20,10:27:59,2233/2788,51,up,
June 11,10:20,10:27:59,2233/2788,50,up,
June 11,10:20,10:27:57,2226/2788,56,up,
June 11,10:20,10:27:57,2226/2788,59,up,
June 11,10:10,10:13:00,813/2785,56,up,
June 11,10:10,10:13:00,813/2785,61,up,
June 11,10:10,10:13:00,813/2785,62,up,
June 11,10:10,10:12:59,813/2785,51,up,
June 11,10:10,10:12:59,810/2785,42,up,
June 11,10:10,11:05:38,810/2785,44,up,
June 11,11:00,11:07:10,1564/2794,56,up,
June 11,12:40,12:47:01,1999/2794,51,up,
June 11,12:40,12:47:01,1942/2786,52,up,
June 11,12:40,12:47:01,1942/2786,49,up,
June 11,12:40,12:47:01,1942/2786,40,up,
June 11,12:40,12:47:01,1942/2786,45,up,
