Date,Timefile,Time,Frame,Size (cm),Direction,Notes
June 13,11:00,11:08:01,2246/2795,55,up,
June 13,13:00,13:05:03,1360/2742,73,down,
June 13,16:30,16:38:20,2308/2767,53,down,
June 13,17:00,17:07:16,2025/2786,44,up,
June 13,17:50,17:57:45,2127/2755,49,down,
June 14,07:20,07:27:38,2085/2733,50,down,
June 14,07:20,07:27:38,2085/2733,48,down,
June 14,07:20,07:27:38,2085/2733,43,down,
June 14,07:20,07:27:38,2085/2733,44,down,
June 14,07:20,07:27:38,2085/2733,54,down,
June 14,07:20,07:27:38,2085/2733,54,down,
June 14,07:20,07:27:38,2085/2733,57,down,
June 14,07:40,07:43:48,982/2709,35,up/down ↻,
June 14,07:40,07:43:48,982/2709,47,up/down ↻,
June 14,07:40,07:43:48,982/2709,47,up/down ↻,
June 14,07:40,07:43:48,982/2709,55,up/down ↻,
June 14,07:40,07:43:48,982/2709,31,up/down ↻,
June 14,08:40,08:43:14,867/2772,44,down,
June 14,08:40,08:43:14,867/2772,49,down,
June 14,08:40,08:43:14,867/2772,61,down,
June 14,08:40,08:43:14,867/2772,62,down,
June 14,08:40,08:43:14,867/2772,67,down,
June 14,08:40,08:43:52,1052/2772,40,↻,
June 14,08:40,08:43:52,1052/2772,37,↻,
June 14,08:40,08:43:52,1052/2772,55,↻,
June 14,08:40,08:43:52,1052/2772,53,↻,
June 14,08:40,08:43:52,1052/2772,65,↻,
June 14,08:40,08:47:41,2124/2772,56,↻,
June 14,08:40,08:47:41,2124/2772,54,↻,
June 14,08:40,08:47:41,2124/2772,68,↻,
June 14,08:40,08:47:41,2124/2772,49,↻,
June 14,08:40,08:49:39,2672/2772,49,↻,
June 14,08:40,08:49:39,2672/2772,64,↻,
June 14,09:00,09:01:48,427/2698,51,up,
June 14,09:00,09:01:48,427/2698,47,up,
June 14,09:00,09:01:48,427/2698,41,up,
June 14,09:00,09:01:48,427/2698,47,up,
June 14,09:00,09:09:35,2589/2698,46,↻,
June 14,09:00,09:09:35,2589/2698,57,↻,
June 14,09:00,09:09:35,2589/2698,37,↻,
June 14,09:00,09:09:35,2589/2698,50,↻,
June 14,09:00,09:09:35,2589/2698,61,↻,
June 14,09:50,09:59:44,2711/2786,64,↻,
June 14,09:50,09:59:44,2711/2786,53,↻,
June 14,09:50,09:59:44,2711/2786,42,↻,
June 14,09:50,09:59:44,2711/2786,60,↻,
June 14,09:50,09:59:44,2711/2786,59,↻,
June 14,10:50,10:50:58,248/2752,50,↻,
June 14,10:50,10:50:58,248/2752,40,↻,
June 14,10:40,10:43:13,860/2743,50,↻,
June 14,10:40,10:43:13,860/2743,49,↻,
June 14,10:40,10:43:13,860/2743,42,↻,
June 14,10:40,10:43:13,860/2743,59,↻,
June 14,10:40,10:43:13,860/2743,43,↻,
June 14,11:20,11:20:23,84/2771,47,↻,
June 14,11:20,11:20:23,84/2771,48,↻,
June 14,11:20,11:20:23,84/2771,48,↻,
June 14,11:20,11:20:23,84/2771,50,↻,
June 14,11:20,11:20:23,84/2771,54,↻,
June 14,11:20,11:28:19,2299/2771,46,↻,
June 14,11:20,11:28:19,2299/2771,38,↻,
June 14,11:20,11:28:19,2299/2771,47,↻,
June 14,11:00,11:02:31,639/2742,49,↻,
June 14,11:00,11:02:31,639/2742,43,↻,
June 14,11:00,11:02:31,639/2742,40,↻,
June 14,11:00,11:02:31,639/2742,46,↻,
June 14,11:00,11:06:03,1635/2742,44,↻,
June 14,11:00,11:06:03,1635/2742,55,↻,
June 14,11:00,11:06:03,1635/2742,42,↻,
June 14,11:00,11:06:03,1635/2742,45,↻,
June 18,08:20,08:27:54,2220/2817,43,↻,
June 18,11:20,11:28:19,2299/2771,48,↻,
June 18,18:30,18:39:30,2708/2850,43,DS,
June 18,18:40,18:42:36,736/2843,79,DS,
June 18,19:20,19:22:44,773/2855,63,DS,
June 19,07:10,07:10:11,41/2847,59,↻,
June 19,07:10,07:10:11,41/2847,41,↻,
June 19,07:10,07:10:11,41/2847,43,↻,
June 19,07:10,07:14:48,1357/2847,46,up,
June 19,07:10,07:14:48,1357/2847,48,up,
June 19,07:10,07:14:48,1357/2847,52,up,
June 19,07:10,07:14:48,1357/2847,37,up,
June 19,07:10,07:14:48,1357/2847,36,up,
June 19,07:10,07:14:48,1357/2847,41,up,
June 19,07:10,07:14:48,1357/2847,41,up,
June 19,07:10,07:14:48,1357/2847,46,up,
June 19,08:20,08:25:07,1463/2857,54,up,
June 19,08:20,08:25:07,1463/2857,60,up,
June 19,08:20,08:25:58,1707/2857,42,up,
June 19,08:20,08:25:58,1707/2857,49,up,
June 19,08:20,08:25:58,1707/2857,50,up,
June 19,08:20,08:25:58,1707/2857,39,up,
June 19,08:20,08:25:58,1707/2857,52,up,
June 19,08:20,08:25:58,1707/2857,65,up,
June 19,08:20,08:25:58,1707/2857,58,up,
June 19,08:20,08:25:58,1707/2857,49,up,
June 19,08:20,08:25:58,1707/2857,40,up,
June 19,08:20,08:25:58,1707/2857,44,up,
June 19,08:20,08:25:58,1707/2857,40,up,
June 19,10:50,10:59:26,2675/2835,50,↻,
June 19,12:50,12:56:32,1856/2849,50,up,
June 19,12:50,12:56:32,1856/2849,56,up,
June 19,13:30,13:31:41,474/2855,43,up,
June 19,15:20,15:27:02,1971/2813,65,up,
June 19,16:40,16:40:36,158/2721,44,up,
June 19,16:40,16:40:36,158/2721,64,up,
June 19,16:40,16:46:53,1846/2721,54,DS,
June 19,16:40,16:46:53,1846/2721,56,DS,
June 19,16:40,16:48:08,2194/2721,44,up,
June 19,16:40,16:48:08,2194/2721,63,up,
June 19,16:40,16:48:08,2194/2721,45,up,
June 19,16:30,16:34:02,1148/2855,52,DS,
June 19,16:30,16:34:02,1148/2855,45,DS,
June 19,16:30,16:37:25,2114/2855,50,↻,
June 19,16:30,16:37:25,2114/2855,47,↻,
June 19,17:50,17:52:08,585/2792,54,up,
June 19,17:50,17:52:08,585/2792,40,up,
June 19,17:50,17:52:08,585/2792,57,up,
June 19,17:50,17:52:08,585/2792,37,up,
June 19,18:10,18:13:43,1053/2853,44,↻,
June 19,18:10,18:13:43,1053/2853,55,↻,
June 19,18:10,18:13:43,1053/2853,50,↻,
June 19,18:10,18:19:56,2836/2853,57,↻,
June 19,18:10,18:19:56,2836/2853,41,↻,
June 19,18:10,18:19:56,2836/2853,51,↻,
June 19,18:10,18:19:56,2836/2853,,↻,
June 19,19:50,19:56:12,-1000/0000,30-50,DS,*
June 19,19:40,19:40:13,52/2846,40,DS,
June 19,19:40,19:40:13,245/2846,58,DS,
June 19,19:40,19:40:13,245/2846,61,DS,
June 19,19:40,19:40:13,245/2846,43,DS,
June 19,19:40,19:40:13,245/2846,38,DS,
June 19,19:40,19:40:13,245/2846,41,DS,
